Search Area,ID,Name,Price,Rating,Address,City,Zip Code,Phone,Image,Latitude,Longitude
"33.99,-84.34",51,Samad Mediterranean,$,4.5,8897 Roswell Rd,Sandy Springs,30350,17708073700,https://s3-media2.fl.yelpcdn.com/bphoto/6VSjMEzSdgZXFIcjHddl5w/o.jpg,34.00007,-84.349453
"33.99,-84.34",52,Circle Sushi,$$,4,8725 Roswell Rd,Atlanta,30350,17709987880,https://s3-media2.fl.yelpcdn.com/bphoto/eJYE4uLjLhO21kUs0M2Qqg/o.jpg,33.99546669,-84.34982993
"33.99,-84.34",53,Beef Grill,$$,4.5,8599 Roswell Rd,Sandy Springs,30350,14702684409,https://s3-media2.fl.yelpcdn.com/bphoto/CncJ1nThaFTK43wJf6wpsw/o.jpg,33.9887737,-84.3508846
"33.99,-84.34",54,Land of a Thousand Hills Coffee House,$,4,352 S Atlanta St,Roswell,30075,17706451149,https://s3-media3.fl.yelpcdn.com/bphoto/CqlQi6f0g4cDlXtRWFAANA/o.jpg,34.00826,-84.3603399
"33.99,-84.34",55,Emidio's,$$,4,8610 Roswell Rd,Sandy Springs,30350,17708373373,https://s3-media4.fl.yelpcdn.com/bphoto/sDh0JSgfuhQVxVtJx_Lo-g/o.jpg,33.99219364,-84.35300579
"33.99,-84.34",56,Table & Main a southern tavern,$$,4.5,1028 Canton St,Roswell,30075,16788695178,https://s3-media1.fl.yelpcdn.com/bphoto/BBitXizWGdwHpgXPET_voA/o.jpg,34.02653,-84.36191
"33.99,-84.34",57,JINYA Ramen Bar - Sandy Springs,$$,4.5,5975 Roswell Rd,Sandy Springs,30328,14046006974,https://s3-media2.fl.yelpcdn.com/bphoto/k6EXDXDsMcVIU4VB7v_U4A/o.jpg,33.918637,-84.378324
"33.99,-84.34",58,Rumi's Kitchen,$$$,4,6112 Roswell Rd NE,Atlanta,30328,14044772100,https://s3-media1.fl.yelpcdn.com/bphoto/fM_OM7lLd42N62X2bbERbA/o.jpg,33.92204914,-84.37953095
"33.99,-84.34",59,Three Dollar Cafe,$$,4,8595 Roswell Rd,Sandy Springs,30350,17709925011,https://s3-media4.fl.yelpcdn.com/bphoto/QRiag1M6E_ufOXb9tSM_7g/o.jpg,33.98836899,-84.3509903
"33.99,-84.34",60,Village Burger-Dunwoody,$,4,1426 Dunwoody Village Pkwy,Dunwoody,30338,17705221600,https://s3-media2.fl.yelpcdn.com/bphoto/ayO4CaacIJ8G1ygxeAgwFg/o.jpg,33.949746,-84.332844
"33.99,-84.34",61,Gracious Plenty Bakery & Breakfast,$$,4.5,1164 Canton St,Roswell,30075,16788783105,https://s3-media2.fl.yelpcdn.com/bphoto/o6BY0_2_VCvlK4EGT-LoMw/o.jpg,34.0302686,-84.3615449
"33.99,-84.34",62,Little Alley Steak,$$$,4,955 Canton St,Roswell,30075,17709980440,https://s3-media4.fl.yelpcdn.com/bphoto/Z409JYBXHedbfWY4Mqw4yQ/o.jpg,34.0246349,-84.3614903
"33.99,-84.34",63,NFA Burger,$,4.5,5465 Chamblee Dunwoody Rd,Dunwoody,30338,14046662874,https://s3-media4.fl.yelpcdn.com/bphoto/an5E4nQlUA6qk89Ua7dCiQ/o.jpg,33.9475676,-84.334966
"33.99,-84.34",64,Fellows Cafe,$$,4.5,1088 Green St,Roswell,30075,16789831481,https://s3-media2.fl.yelpcdn.com/bphoto/5tS254JzPJ2aksKTHhfung/o.jpg,34.02818,-84.36034
"33.99,-84.34",65,Brookwood Grill,$$,4,880 Holcomb Bridge Rd,Roswell,30076,17705870102,https://s3-media1.fl.yelpcdn.com/bphoto/gc701eB62ToQLUaQuJJjdw/o.jpg,34.02911127,-84.33582593
"33.99,-84.34",66,Egg Harbor Café,$$,4,5920 Roswell Road,Sandy Springs,30328,14043899915,https://s3-media1.fl.yelpcdn.com/bphoto/7bi0KqU6JlZeFx_9N9gdjQ/o.jpg,33.91713742,-84.37950366
"33.99,-84.34",67,VAS Kouzina,$$,4.5,942 Alpharetta St,Roswell,30075,16785875888,https://s3-media4.fl.yelpcdn.com/bphoto/-rlaRw5Xi1WYyGvqYyB5fQ/o.jpg,34.02429,-84.36089
"33.99,-84.34",68,Roux On Canton,$$,4,946 Canton St,Roswell,30075,17709930007,https://s3-media3.fl.yelpcdn.com/bphoto/t8CbMfaqG4xaD4Z4kkDcaA/o.jpg,34.02432736,-84.3615998
"33.99,-84.34",69,Moxie Burger,$$,4,555 S Atlanta St,Roswell,30075,16788784411,https://s3-media1.fl.yelpcdn.com/bphoto/X6aQAcd0LTjXRAZsEEr_Ww/o.jpg,34.013669,-84.361886
"33.99,-84.34",70,Taqueria Tsunami,$$,4,1570 Holcomb Bridge Rd,Roswell,30076,17709931530,https://s3-media2.fl.yelpcdn.com/bphoto/HT4U2REAbVm93AfnVW968Q/o.jpg,34.018557,-84.31201493
"33.99,-84.34",71,Lucky's Burger & Brew,$$,4,1144 Alpharetta St,Roswell,30075,17705185695,https://s3-media1.fl.yelpcdn.com/bphoto/l7Dz_cc37D0qyVdRHHDuBQ/o.jpg,34.03036,-84.35547
"33.99,-84.34",72,Salt Factory Pub,$$,4,952 Canton St,Roswell,30075,17709984850,https://s3-media2.fl.yelpcdn.com/bphoto/aNbfS4Aokh31119B9uJqgg/o.jpg,34.024672,-84.361789
"33.99,-84.34",73,E. 48th Street Market,$,4.5,2462 Jett Ferry,Dunwoody,30338,17703921499,https://s3-media3.fl.yelpcdn.com/bphoto/maJtk9u0dS0UeRia1UlcqA/o.jpg,33.958367,-84.304212
"33.99,-84.34",74,Local Expedition Wood Fired Grill,$$,5,1110 Hammond Dr,Sandy Springs,30328,17708379904,https://s3-media3.fl.yelpcdn.com/bphoto/nfVs36YCjGWHZOY2is_A4g/o.jpg,33.919661,-84.350803
"33.99,-84.34",75,Circle Noodle,$$,4.5,1570 Holcomb Bridge Rd,Roswell,30076,17707783183,https://s3-media1.fl.yelpcdn.com/bphoto/nLYIMCb95zZyWxDxPThijA/o.jpg,34.01880837,-84.31221262
"33.99,-84.34",76,Osteria Mattone,$$,4.5,1095 Canton St,Roswell,30075,16788783378,https://s3-media4.fl.yelpcdn.com/bphoto/t2VsTodYkWJK1s-ySmSIZQ/o.jpg,34.028478,-84.360902
"33.99,-84.34",77,Crema Espresso Gourmet,$,4.5,2458 Mount Vernon Rd,Dunwoody,30338,16787319020,https://s3-media3.fl.yelpcdn.com/bphoto/Bk7RzE6_oiVt3pMHImfPbQ/o.jpg,33.9579257,-84.3022804
"33.99,-84.34",78,The Mill Kitchen and Bar,$$,4,590 Mimosa Blvd,Roswell,30075,17708179345,https://s3-media2.fl.yelpcdn.com/bphoto/abKFRb7zyz30SWzSBjeEuQ/o.jpg,34.014641,-84.363971
"33.99,-84.34",79,Jerusalem Chef Restaurant,$$,4.5,10684 Alpharetta Hwy,Roswell,30076,17706863972,https://s3-media2.fl.yelpcdn.com/bphoto/ywpzA9zbjtwMNOjAX-mQdQ/o.jpg,34.0403326,-84.3425153
"33.99,-84.34",80,Lazaro's Cuban Cuisine,$$,4.5,25 Woodstock Rd,Roswell,30075,16782779661,https://s3-media3.fl.yelpcdn.com/bphoto/UWHfkBKuLx_31QnpmvyBOw/o.jpg,34.031967,-84.362129
"33.99,-84.34",81,Hammocks Trading,$$,4,7285 Roswell Rd,Sandy Springs,30328,17703959592,https://s3-media1.fl.yelpcdn.com/bphoto/qvsoXSW6RYQYT2T7ew9yGg/o.jpg,33.953913,-84.365296
"33.99,-84.34",82,Hugo's Oyster Bar,$$$,4,10360 Alpharetta St,Roswell,30075,17709935922,https://s3-media4.fl.yelpcdn.com/bphoto/Qfis6OQ15eZB8QxWEL7TDQ/o.jpg,34.03464,-84.34789
"33.99,-84.34",83,Pappadeaux Seafood Kitchen,$$,4,10795 Davis Dr,Alpharetta,30009,17709925566,https://s3-media4.fl.yelpcdn.com/bphoto/kyA2UZ1tpksmbj8lophbtQ/o.jpg,34.04160935,-84.31185035
"33.99,-84.34",84,Eclipse Di Luna,$$,4,4505 Ashford Dunwoody Rd NE,Atlanta,30346,16782055862,https://s3-media3.fl.yelpcdn.com/bphoto/Y3cEVZi0BuijKtYfTXRpnw/o.jpg,33.92485,-84.335579
"33.99,-84.34",85,Seed Kitchen & Bar,$$,4,1311 Johnson Ferry Rd,Marietta,30068,16782146888,https://s3-media2.fl.yelpcdn.com/bphoto/BJhZ36ArMCL9JQofu90laA/o.jpg,33.97971,-84.42837
"33.99,-84.34",86,Pizzeria Lucca,$$,4,96 Bulloch Ave,Roswell,30075,14702941222,https://s3-media3.fl.yelpcdn.com/bphoto/IhqNty8KNIrwbPwZeO0cqA/o.jpg,34.01473,-84.36497
"33.99,-84.34",87,Sandy Springs Diner,$$,3.5,8612 Roswell Rd,Atlanta,30350,17705949272,https://s3-media2.fl.yelpcdn.com/bphoto/8UQCQOdbUeV0rIICa747cQ/o.jpg,33.99038,-84.352216
"33.99,-84.34",88,Asian Kitchen,$$,4.5,2300 Holcomb Bridge Rd,Roswell,30076,17705875678,https://s3-media2.fl.yelpcdn.com/bphoto/bEE5hfHHbRoeM29jahKuXA/o.jpg,34.00492086,-84.2938169
"33.99,-84.34",89,Seasons 52,$$,4,90 Perimeter Ctr W,Dunwoody,30346,17706710052,https://s3-media2.fl.yelpcdn.com/bphoto/-e4PchEGOuiAD0qwh66DQQ/o.jpg,33.9262631,-84.33958461
"33.99,-84.34",90,Amalfi Ristorante,$$,4,292 S Atlanta St,Roswell,30075,17706459983,https://s3-media1.fl.yelpcdn.com/bphoto/jtUM_RrmspWtfk6e5pWejQ/o.jpg,34.00815,-84.35829
"33.99,-84.34",91,North River Tavern,$$,3.5,8879 Roswell Rd,Sandy Springs,30350,17705528784,https://s3-media2.fl.yelpcdn.com/bphoto/Gkd3dJKilB3ByGF8AoMTOA/o.jpg,34.001236,-84.349952
"33.99,-84.34",92,Novo Cucina,$$,4,5592 Chamblee Dunwoody Rd,Dunwoody,30338,14702753000,https://s3-media1.fl.yelpcdn.com/bphoto/Tt0DQtUeeymOZo82bCCP0Q/o.jpg,33.95132446,-84.33706665
"33.99,-84.34",93,1920 Tavern,$$,4,948 Canton St,Roswell,30075,17709983114,https://s3-media2.fl.yelpcdn.com/bphoto/tSbKBY9fa7G2ls5nSKTuEw/o.jpg,34.02437,-84.3618
"33.99,-84.34",94,Shoya Izakaya,$$,4,6035 Peachtree Rd,Doraville,30360,17704575555,https://s3-media3.fl.yelpcdn.com/bphoto/16XlZ_BLR_h4YkamGNeKvQ/o.jpg,33.90786763,-84.28672464
"33.99,-84.34",95,Vin 25,$$,4.5,25 Plum Tree St,Roswell,30075,17706280411,https://s3-media2.fl.yelpcdn.com/bphoto/_BHX2sdcXGyE2uNoqoJeig/o.jpg,34.02682379,-84.36038733
